Company_Name,Category,M_Name,URL
amfebcon,miscellaneous,A & M Febcon,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/amfebcon/F03
amjumbobags,miscellaneous,A and M Jumbo B,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/amjumbobags/JB03
abinfrabuild,infrastructuregeneral,A B Infrabuild,http://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/abinfrabuild/I07
afenterprises,miscellaneous,A F Ent,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/afenterprises/AFE01
ainfrastructure,cementproductsbuildingmaterials,A Infra.,http://www.moneycontrol.com/india/stockpricequote/cementproductsbuildingmaterials/ainfrastructure/AI74
akscredits,financeleasinghirepurchase,A K S Credits,http://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/akscredits/AKS
akspintex,miscellaneous,A K Spintex,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/akspintex/AKS01
aptyarns,textilesspinningcottonblended,A P T Yarns,http://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/aptyarns/APT01
a1acid,chemicals,A-1 Acid ,http://www.moneycontrol.com/india/stockpricequote/chemicals/a1acid/AA14
akcapitalservices,financegeneral,A.K.Capital Ser,http://www.moneycontrol.com/india/stockpricequote/financegeneral/akcapitalservices/AKC01
a2zinfraengineering,powertransmissionequipment,A2Z Infra Eng,http://www.moneycontrol.com/india/stockpricequote/powertransmissionequipment/a2zinfraengineering/AME02
aachalalloys,steelmediumsmall,Aachal Alloys,http://www.moneycontrol.com/india/stockpricequote/steelmediumsmall/aachalalloys/AA
aadhaarventuresindia,financegeneral,Aadhaar Venture,http://www.moneycontrol.com/india/stockpricequote/financegeneral/aadhaarventuresindia/PI37
aadiindustries,plastics,Aadi Industries,http://www.moneycontrol.com/india/stockpricequote/plastics/aadiindustries/AI63
aagamcapital,financeleasinghirepurchase,Aagam Capital,http://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/aagamcapital/PC18
aakarengineeringmanufacturingcompany,engineering,Aakar Engg & Mf,http://www.moneycontrol.com/india/stockpricequote/engineering/aakarengineeringmanufacturingcompany/AEM
aakashexplorationservices,engineeringheavy,Aakash Explorat,http://www.moneycontrol.com/india/stockpricequote/engineeringheavy/aakashexplorationservices/AES01
aamcoltools,machinetools,Aamcol Tools,http://www.moneycontrol.com/india/stockpricequote/machinetools/aamcoltools/AT01
aanandalakshmispinningmills,textilesspinningcottonblended,Aananda Lakshmi,http://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/aanandalakshmispinningmills/ALS
aanchalispat,steelspongeiron,Aanchal Ispat,http://www.moneycontrol.com/india/stockpricequote/steelspongeiron/aanchalispat/AI36
aankitgranites,ceramicsgranite,Aankit Granites,http://www.moneycontrol.com/india/stockpricequote/ceramicsgranite/aankitgranites/AGL
aarcommercialcompany,textilesgeneral,AAR COMMERCIAL ,http://www.moneycontrol.com/india/stockpricequote/textilesgeneral/aarcommercialcompany/AAR
aareydrugspharmaceuticals,pharmaceuticals,Aarey Drugs,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/aareydrugspharmaceuticals/ADP
aarnavfashions,financegeneral,Aarnav Fashions,http://www.moneycontrol.com/india/stockpricequote/financegeneral/aarnavfashions/KS18
aaronindustries,miscellaneous,Aaron Industrie,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/aaronindustries/AI79
aartechsolonics,miscellaneous,Aartech Solonic,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/aartechsolonics/AS27
aartidrugs,pharmaceuticals,Aarti Drugs,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/aartidrugs/AD
aartiindustries,chemicals,Aarti Ind,http://www.moneycontrol.com/india/stockpricequote/chemicals/aartiindustries/AI45
aarvinfratel,textilesmanmade,AARV Infratel,http://www.moneycontrol.com/india/stockpricequote/textilesmanmade/aarvinfratel/N05
aarveedenimexports,textilesdenim,Aarvee Denim,http://www.moneycontrol.com/india/stockpricequote/textilesdenim/aarveedenimexports/ADE
aarviencon,diversified,Aarvi Encon,http://www.moneycontrol.com/india/stockpricequote/diversified/aarviencon/AE19
aaryaglobalsharessecurities,textileswoollenworsted,Aarya Global,http://www.moneycontrol.com/india/stockpricequote/textileswoollenworsted/aaryaglobalsharessecurities/KIF02
aasheeshsecurities,financeinvestments,Aasheesh Sec,http://www.moneycontrol.com/india/stockpricequote/financeinvestments/aasheeshsecurities/AS12
aaswatradingexports,trading,Aaswa Trading,http://www.moneycontrol.com/india/stockpricequote/trading/aaswatradingexports/ATE02
aavasfinanciers,financegeneral,AAVAS Financier,http://www.moneycontrol.com/india/stockpricequote/financegeneral/aavasfinanciers/AF17
aayushfoodherbs,pharmaceuticals,Aayush Food ,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/aayushfoodherbs/AFH01
adityabirlacapital,financeinvestments,AB Capital,http://www.moneycontrol.com/india/stockpricequote/financeinvestments/adityabirlacapital/ABC9
abcorp,abcorp,AB Corp,http://www.moneycontrol.com/india/stockpricequote/abcorp/abcorp/ABC05
adityabirlamoney,financegeneral,AB Money,http://www.moneycontrol.com/india/stockpricequote/financegeneral/adityabirlamoney/ABM01
adityabirlanuvo,diversified,AB Nuvo,http://www.moneycontrol.com/india/stockpricequote/diversified/adityabirlanuvo/ABN01
abacuscomputers,computerssoftwaremediumsmall,Abacus Computer,http://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/abacuscomputers/AC
abanoffshore,oildrillingandexploration,Aban Offshore,http://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/abanoffshore/AO04
abansenterprises,trading,ABans Enterpris,http://www.moneycontrol.com/india/stockpricequote/trading/abansenterprises/MST03
abbindia,infrastructuregeneral,ABB India,http://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/abbindia/ABB
